Season,ghl,tanner_cbl,total_tanner,tanner_ratio,total_king,king_ratio,total_dungeness,dungeness_ratio,total_halibut,halibut_ratio
2009/10,25000,12000,8623.497701904136,2.4779738573197405,15,0.004310270512577369,0,0,10.427445830597504,0.0029963408190081505
2011/12,25000,12000,10175.415836889522,0.4052340897615378,14,5.575474602319317e-4,0,0,43.11616880037933,0.001717093600684482
2012/13,25000,12000,8918.931236897275,0.356557434689491,12,4.797311586586877e-4,9.378476589797344,3.7492895340640484e-4,187.5695317959469,0.007498579068128097
2013/14,25000,12000,9323.289163187512,0.4583710051444078,11,5.408049636062842e-4,0,0,210.15610818660372,0.010332133312681322
2014/15,25000,12000,18168.07558578987,0.7275081502273201,9,3.6038893173512856e-4,0,0,142.5275888133031,0.0057072628305788855
2015/16,25000,12000,15234.261702127658,1.391252964798056,0,0,0,0,29.92978723404255,0.002733306414141564
2016/17,25000,12000,8017.335757323915,0.3192894507202495,7,2.787741742012025e-4,0,0,55.86993559110742,0.0022250135938693344
2017/18,25000,12000,6912.340425531914,0.2762731510467412,2,7.993621090369884e-5,0,0,133.78723404255317,0.005347222278324024
2018/19,30000,18000,1460.308736217133,0.04867713635673774,1,3.333345555600371e-5,1088.8266892847043,0.03629435605546235,179.33616058806894,0.005977893938546739
2019/20,35000,17500,10869.766326214794,0.3104751579177093,5,1.4281593026012495e-4,9286.026617146392,0.2652385059496086,177.06406685236766,0.005057513884632368
