Season,ghl,total_tanner,tanner_ratio,total_king,king_ratio,total_dungeness,dungeness_ratio,total_halibut,halibut_ratio
2009/10,185000,12309.657280977015,0.07240292154202763,0,0,111.56789076414213,6.562198327071991e-4,644.614479970599,0.0037914923667527055
2010/11,185000,15492.261666752993,0.09727178759415742,0,0,18.531413476977264,1.1635381291167155e-4,148.2513078158181,9.308305032933724e-4
2011/12,185000,11191.189733593243,0.0707228294971272,0,0,135.587573659564,8.568469556967881e-4,521.4906679214,0.003295565214218416
2012/13,145000,13262.557191392976,0.0924895993070962,0,0,44.61751788525812,3.1115088076399055e-4,334.6313841394359,0.0023336316057299294
2013/14,145000,28726.977739047765,0.19489118181032158,0,0,55.92014576566584,3.793766053037406e-4,383.4524281074229,0.0026014395792256497
2014/15,145000,1319.1893147502901,0.010187311634180886,1,7.722403085192701e-6,34.94541231126597,2.698625598458513e-4,244.61788617886174,0.001889037918920959
2015/16,145000,2104.995977133178,0.01744135552264533,0,0,108.87910226550922,9.02139078757517e-4,235.90472157526995,0.0019546346706412867
2016/17,125000,917.7144499257628,0.007623477498101328,0,0,262.20412855021794,0.002178136428028951,201.69548350016763,0.0016754895600222697
2017/18,145000,2183.3206500198175,0.01504909018774424,0,0,710.3626995279789,0.004896354702232575,323.84181890246094,0.00223216170248838
2018/19,145000,709.3876356295735,0.0048895300243644935,0,0,274.6016654049962,0.0018927212997539974,205.95124905374712,0.0014195409748154978
2019/20,155000,259.8642750918085,0.0018015458895938587,0,0,479.7494309387235,0.0033259308730963556,589.692008862181,0.0040881233648476034
