Season,ghl,mt_wt,rnd_wt,dredge_hrs,number_hauls,mw_cpue,rw_cpue
2009/10,50000,48920.54,595601.7999999999,1274.73,726,38.377177912185324,467.2376111019588
2010/11,50000,50099.84,547301.7,971.53,597,51.56798040204625,563.3399895010962
2011/12,50000,50275.18,529235.2000000001,984.04,626,51.09058574854681,537.8187878541523
2012/13,50000,50044.98,564786.6,942.72,695,53.08573065173116,599.1032331975559
2013/14,50000,49989.12,561032.8,1085.99,719,46.03092109503771,516.6095452075987
2014/15,50000,12444.93,227196.2,525.33,330,23.689737879047456,432.48282032246397
2015/16,7500,7499.85,107336.5,306.86,157,24.44062438897217,349.78980642638334
2016/17,7500,7574.92,108190.6,274.96,174,27.549170788478328,393.47759674134426
2017/18,7500,7535.08,105667.5,316.23,185,23.827846820352274,334.1476140783607
2018/19,7500,7539.98,125978.09999999999,357.16,179,21.11093067532758,352.72174935603084
2019/20,7500,7130,106177.2,365.11,184,19.52836131576785,290.8087973487442
